budget,revenue,popularity,vote_average,runtime,original_language,imdb_rating,year,month,season,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,director_is_top,actor_is_top,roi,hit
3500000.0,76585951.0,2.8059,6.3,112.0,en,6.7,2002,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.881700285714285,1
2500000.0,12512637.0,3.0191,6.771,114.0,en,7.1,1971,6,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4.0050548,0
4158370.0,7819851.0,2.4754,6.2,102.0,en,6.2,2001,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.8805087089412438,0
2500000.0,6400000.0,3.5263,7.061,104.0,en,6.9,1991,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.56,0
100000.0,2436000.0,1.6482,7.2,90.0,en,7.4,1984,10,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23.36,0
20000000.0,60427839.0,2.8872,7.3,124.0,en,7.6,2003,9,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.02139195,1
60000.0,3221152.0,3.9835,7.1,84.0,en,7.3,1998,7,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,52.68586666666667,0
2500000.0,70000000.0,4.9465,7.495,111.0,en,7.7,1967,8,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,1
2500000.0,4700000.0,1.9261,7.1,102.0,en,7.2,1989,10,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.88,0
1200000.0,30787356.0,1.7534,6.8,114.0,hi,7.3,2001,8,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24.65613,1
1125000.0,12121618.0,2.9545,6.4,100.0,en,6.6,1971,6,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.774771555555555,0
9500000.0,14569027.0,3.9403,7.0,125.0,en,7.2,1990,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.5335817894736842,0
1000000.0,10750000.0,2.9547,7.366,105.0,en,7.7,1951,12,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9.75,0
150000.0,311212.0,4.5885,8.2,96.0,sv,8.1,1957,2,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0747466666666667,0
13000000.0,22863596.0,5.2935,7.418,113.0,en,7.7,1999,10,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7587381538461538,1
1978000.0,10000000.0,1.0992,6.0,105.0,en,6.1,1972,6,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.055611729019211,0
